<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.26	23:29:00	4084.518	4084.994	4084.300	4084.745	56	0	240
2026.07.26	23:30:00	4084.823	4085.728	4084.627	4085.455	76	0	240
2026.07.26	23:31:00	4085.461	4085.869	4085.068	4085.267	74	0	240
2026.07.26	23:32:00	4085.270	4085.628	4085.172	4085.564	56	0	240
2026.07.26	23:33:00	4085.514	4086.486	4085.194	4086.164	75	0	240
2026.07.26	23:34:00	4086.144	4086.674	4085.812	4086.205	79	0	240
2026.07.26	23:35:00	4086.205	4086.970	4086.154	4086.929	51	0	240
2026.07.26	23:36:00	4086.688	4087.745	4086.554	4087.252	75	0	240
2026.07.26	23:37:00	4087.198	4087.281	4086.682	4087.232	55	0	240
2026.07.26	23:38:00	4087.241	4087.520	4086.472	4086.922	57	0	240
2026.07.26	23:39:00	4086.828	4086.952	4085.964	4086.295	55	0	240
2026.07.26	23:40:00	4086.295	4087.150	4086.154	4086.903	51	0	240
2026.07.26	23:41:00	4087.162	4088.361	4086.603	4088.133	80	0	240
2026.07.26	23:42:00	4088.091	4088.983	4088.091	4088.551	68	0	240
2026.07.26	23:43:00	4088.552	4089.429	4088.279	4088.696	73	0	240
2026.07.26	23:44:00	4088.939	4089.155	4088.562	4088.848	88	0	240
2026.07.26	23:45:00	4088.849	4091.872	4088.076	4091.872	146	0	240
2026.07.26	23:46:00	4091.584	4092.306	4090.642	4092.036	160	0	240
2026.07.26	23:47:00	4092.086	4094.716	4091.582	4093.177	172	0	240
2026.07.26	23:48:00	4093.193	4094.055	4092.189	4093.026	192	0	240
2026.07.26	23:49:00	4093.007	4094.566	4092.956	4094.382	154	0	240
2026.07.26	23:50:00	4094.437	4095.354	4093.868	4094.845	125	0	240
2026.07.26	23:51:00	4094.798	4096.411	4093.833	4094.898	175	0	240
2026.07.26	23:52:00	4095.239	4096.033	4095.026	4095.128	174	0	240
2026.07.26	23:53:00	4095.074	4095.275	4093.065	4093.170	129	0	240
2026.07.26	23:54:00	4093.227	4093.853	4092.893	4093.160	112	0	240
2026.07.26	23:55:00	4093.385	4094.321	4093.013	4093.791	148	0	240
2026.07.26	23:56:00	4093.842	4094.011	4092.777	4092.888	126	0	240
2026.07.26	23:57:00	4092.910	4093.668	4092.570	4093.402	113	0	240
2026.07.26	23:58:00	4093.350	4095.958	4093.037	4094.850	160	0	240
2026.07.26	23:59:00	4094.792	4096.348	4093.411	4094.171	189	0	240
2026.07.27	00:00:00	4094.295	4102.032	4093.869	4101.247	641	0	240
2026.07.27	00:01:00	4101.189	4103.717	4099.917	4103.473	529	0	240
2026.07.27	00:02:00	4103.377	4104.052	4101.070	4102.756	451	0	240
2026.07.27	00:03:00	4102.872	4105.093	4101.542	4101.976	323	0	240
2026.07.27	00:04:00	4101.826	4102.195	4100.440	4101.834	276	0	240
2026.07.27	00:05:00	4101.779	4102.355	4101.055	4101.576	251	0	240
2026.07.27	00:06:00	4101.526	4101.995	4099.622	4100.412	325	0	240
2026.07.27	00:07:00	4100.608	4101.642	4099.381	4100.216	255	0	240
2026.07.27	00:08:00	4100.293	4102.280	4099.985	4100.679	310	0	240
2026.07.27	00:09:00	4100.630	4108.480	4100.228	4108.419	400	0	240
2026.07.27	00:10:00	4108.159	4110.193	4106.925	4109.460	363	0	240
2026.07.27	00:11:00	4109.630	4114.092	4109.097	4113.612	465	0	240
2026.07.27	00:12:00	4113.739	4115.823	4113.468	4115.348	409	0	240
2026.07.27	00:13:00	4115.406	4115.995	4114.086	4115.053	288	0	240
2026.07.27	00:14:00	4114.997	4116.193	4114.318	4115.378	315	0	240
2026.07.27	00:15:00	4115.610	4115.610	4112.625	4112.857	352	0	240
2026.07.27	00:16:00	4112.802	4113.737	4110.098	4110.098	291	0	240
2026.07.27	00:17:00	4110.399	4112.381	4110.148	4111.963	230	0	240
2026.07.27	00:18:00	4111.899	4112.179	4108.980	4109.647	319	0	240
2026.07.27	00:19:00	4109.546	4109.704	4106.629	4107.370	315	0	240
2026.07.27	00:20:00	4107.389	4107.524	4104.552	4104.552	383	0	240
2026.07.27	00:21:00	4104.676	4106.220	4104.345	4105.913	301	0	240
2026.07.27	00:22:00	4105.863	4106.303	4103.852	4104.098	310	0	240
2026.07.27	00:23:00	4104.118	4104.747	4102.114	4102.750	317	0	240
2026.07.27	00:24:00	4102.755	4103.583	4101.541	4102.860	214	0	240
2026.07.27	00:25:00	4102.877	4103.048	4097.014	4097.293	391	0	240
2026.07.27	00:26:00	4097.206	4098.331	4093.890	4097.151	439	0	240
2026.07.27	00:27:00	4097.079	4097.159	4090.581	4091.333	420	0	240
2026.07.27	00:28:00	4091.386	4093.452	4090.780	4091.752	267	0	240
2026.07.27	00:29:00	4091.803	4095.396	4091.803	4094.532	257	0	240
2026.07.27	00:30:00	4094.287	4097.543	4094.287	4094.898	292	0	240
2026.07.27	00:31:00	4094.901	4096.485	4093.483	4096.485	258	0	240
2026.07.27	00:32:00	4096.412	4097.225	4095.815	4096.143	229	0	240
2026.07.27	00:33:00	4096.451	4098.136	4094.891	4097.368	287	0	240
2026.07.27	00:34:00	4097.419	4099.671	4097.049	4099.548	180	0	240
2026.07.27	00:35:00	4099.591	4102.005	4099.591	4101.656	230	0	240
2026.07.27	00:36:00	4101.596	4101.715	4099.262	4099.640	217	0	240
2026.07.27	00:37:00	4099.606	4101.468	4099.515	4100.666	231	0	240
2026.07.27	00:38:00	4100.617	4102.485	4100.059	4102.110	175	0	240
2026.07.27	00:39:00	4102.187	4102.337	4099.250	4099.427	209	0	240
2026.07.27	00:40:00	4099.609	4099.700	4098.777	4099.005	140	0	240
2026.07.27	00:41:00	4099.116	4100.005	4098.354	4099.992	209	0	240
2026.07.27	00:42:00	4100.044	4102.099	4099.757	4101.189	236	0	240
2026.07.27	00:43:00	4101.339	4101.646	4099.819	4100.245	148	0	240
2026.07.27	00:44:00	4100.299	4100.590	4099.180	4099.937	200	0	240
2026.07.27	00:45:00	4099.636	4103.057	4099.550	4102.725	315	0	240
2026.07.27	00:46:00	4102.681	4103.164	4100.843	4101.916	185	0	240
2026.07.27	00:47:00	4101.725	4105.128	4101.644	4104.434	244	0	240
2026.07.27	00:48:00	4104.383	4106.145	4104.119	4105.507	268	0	240
2026.07.27	00:49:00	4105.525	4105.968	4103.803	4104.687	231	0	240
2026.07.27	00:50:00	4104.639	4109.074	4104.639	4109.074	265	0	240
2026.07.27	00:51:00	4109.129	4109.318	4106.546	4106.860	255	0	240
2026.07.27	00:52:00	4106.642	4107.490	4105.644	4105.644	192	0	240
2026.07.27	00:53:00	4105.693	4106.585	4105.404	4106.193	253	0	240
2026.07.27	00:54:00	4105.993	4106.632	4105.332	4106.116	208	0	240
2026.07.27	00:55:00	4105.812	4106.390	4104.427	4104.455	279	0	240
2026.07.27	00:56:00	4104.404	4105.321	4103.474	4104.360	204	0	240
2026.07.27	00:57:00	4104.416	4105.152	4103.965	4104.056	197	0	240
2026.07.27	00:58:00	4104.189	4104.877	4103.327	4103.743	238	0	240
2026.07.27	00:59:00	4103.428	4103.428	4099.157	4100.688	369	0	240
2026.07.27	01:00:00	4100.891	4107.702	4100.664	4106.539	1089	0	240
2026.07.27	01:01:00	4106.677	4108.983	4105.827	4108.416	751	0	240
2026.07.27	01:02:00	4108.531	4112.224	4107.512	4107.512	529	0	240
2026.07.27	01:03:00	4107.816	4108.483	4105.479	4106.614	680	0	240
2026.07.27	01:04:00	4106.362	4107.374	4104.398	4107.374	550	0	240
2026.07.27	01:05:00	4107.425	4111.166	4107.228	4110.149	593	0	240
2026.07.27	01:06:00	4110.089	4112.638	4109.446	4109.509	356	0	240
2026.07.27	01:07:00	4109.605	4110.543	4106.141	4106.141	377	0	240
2026.07.27	01:08:00	4106.222	4109.486	4106.216	4106.987	436	0	240
2026.07.27	01:09:00	4106.932	4107.262	4105.436	4106.357	414	0	240
2026.07.27	01:10:00	4106.458	4109.268	4106.237	4107.783	444	0	240
2026.07.27	01:11:00	4107.835	4109.996	4107.835	4109.798	321	0	240
2026.07.27	01:12:00	4109.863	4109.863	4106.544	4106.971	389	0	240
2026.07.27	01:13:00	4106.668	4109.127	4105.971	4108.725	319	0	240
2026.07.27	01:14:00	4108.671	4109.046	4106.962	4106.962	322	0	240
2026.07.27	01:15:00	4107.273	4109.138	4106.845	4107.326	403	0	240
2026.07.27	01:16:00	4107.558	4108.468	4105.669	4108.192	355	0	240
2026.07.27	01:17:00	4107.923	4108.605	4104.085	4105.669	412	0	240
2026.07.27	01:18:00	4105.610	4106.152	4102.829	4103.113	321	0	240
2026.07.27	01:19:00	4103.062	4105.076	4102.030	4102.391	427	0	240
2026.07.27	01:20:00	4102.137	4103.197	4101.345	4101.538	299	0	240
2026.07.27	01:21:00	4101.440	4102.129	4100.279	4101.607	306	0	240
2026.07.27	01:22:00	4101.642	4102.709	4099.900	4102.648	324	0	240
2026.07.27	01:23:00	4102.498	4103.226	4100.600	4100.739	309	0	240
2026.07.27	01:24:00	4100.623	4101.874	4100.276	4101.874	195	0	240
2026.07.27	01:25:00	4101.557	4101.557	4098.785	4099.043	294	0	240
2026.07.27	01:26:00	4098.992	4099.038	4096.910	4097.507	362	0	240
2026.07.27	01:27:00	4097.531	4099.963	4097.301	4099.462	203	0	240
2026.07.27	01:28:00	4099.724	4100.348	4099.029	4099.609	210	0	240
2026.07.27	01:29:00	4099.555	4100.381	4098.893	4100.052	214	0	240
2026.07.27	01:30:00	4099.926	4101.570	4099.533	4100.318	304	0	240
2026.07.27	01:31:00	4100.459	4103.421	4099.642	4102.900	292	0	240
2026.07.27	01:32:00	4102.846	4103.931	4101.807	4102.353	216	0	240
2026.07.27	01:33:00	4102.354	4102.608	4099.317	4100.047	244	0	240
2026.07.27	01:34:00	4100.099	4102.690	4099.776	4100.308	247	0	240
2026.07.27	01:35:00	4100.345	4101.104	4098.154	4098.521	255	0	240
2026.07.27	01:36:00	4098.383	4099.292	4097.856	4098.584	241	0	240
2026.07.27	01:37:00	4098.645	4100.212	4098.304	4100.076	241	0	240
2026.07.27	01:38:00	4099.980	4102.514	4099.719	4102.325	215	0	240
2026.07.27	01:39:00	4102.408	4104.175	4102.121	4103.599	288	0	240
2026.07.27	01:40:00	4103.615	4104.405	4102.624	4102.843	263	0	240
2026.07.27	01:41:00	4102.698	4103.765	4102.161	4103.150	278	0	240
2026.07.27	01:42:00	4103.087	4103.204	4102.400	4102.458	233	0	240
2026.07.27	01:43:00	4102.655	4103.385	4101.876	4102.458	273	0	240
2026.07.27	01:44:00	4102.369	4103.451	4101.983	4102.765	218	0	240
2026.07.27	01:45:00	4102.818	4103.614	4102.618	4103.614	267	0	240
2026.07.27	01:46:00	4103.565	4104.839	4103.447	4104.323	322	0	240
2026.07.27	01:47:00	4104.209	4107.144	4104.103	4105.435	290	0	240
2026.07.27	01:48:00	4105.633	4105.908	4104.723	4105.187	193	0	240
2026.07.27	01:49:00	4105.322	4106.297	4105.089	4105.534	180	0	240
2026.07.27	01:50:00	4105.583	4106.043	4103.256	4103.372	247	0	240
2026.07.27	01:51:00	4103.336	4106.108	4102.600	4106.108	255	0	240
2026.07.27	01:52:00	4105.905	4106.495	4104.686	4106.058	221	0	240
2026.07.27	01:53:00	4105.983	4106.850	4104.941	4106.480	193	0	240
2026.07.27	01:54:00	4106.481	4108.453	4106.127	4107.782	207	0	240
2026.07.27	01:55:00	4107.890	4108.340	4106.412	4106.725	205	0	240
2026.07.27	01:56:00	4106.601	4107.574	4105.911	4106.734	171	0	240
2026.07.27	01:57:00	4106.977	4107.691	4106.297	4106.959	200	0	240
2026.07.27	01:58:00	4107.068	4108.832	4106.909	4108.832	195	0	240
2026.07.27	01:59:00	4108.780	4110.255	4108.330	4109.933	203	0	240
2026.07.27	02:00:00	4109.988	4111.033	4108.449	4108.679	263	0	240
2026.07.27	02:01:00	4108.617	4109.218	4106.821	4107.343	269	0	240
2026.07.27	02:02:00	4107.204	4108.024	4106.032	4106.032	239	0	240
2026.07.27	02:03:00	4105.983	4106.856	4105.218	4106.464	235	0	240
2026.07.27	02:04:00	4106.530	4106.707	4105.160	4105.486	194	0	240
2026.07.27	02:05:00	4105.407	4107.558	4104.959	4106.948	256	0	240
2026.07.27	02:06:00	4106.885	4107.344	4104.236	4104.687	216	0	240
2026.07.27	02:07:00	4104.540	4105.736	4104.057	4105.432	152	0	240
2026.07.27	02:08:00	4105.354	4105.879	4103.804	4104.780	175	0	240
2026.07.27	02:09:00	4104.829	4105.286	4104.125	4104.318	230	0	240
2026.07.27	02:10:00	4104.377	4105.806	4103.162	4105.238	310	0	240
2026.07.27	02:11:00	4105.463	4106.107	4104.565	4105.294	264	0	240
2026.07.27	02:12:00	4105.343	4105.630	4103.984	4104.343	184	0	240
2026.07.27	02:13:00	4104.397	4105.310	4104.308	4104.607	188	0	240
2026.07.27	02:14:00	4104.657	4105.721	4104.261	4105.360	161	0	240
2026.07.27	02:15:00	4105.556	4105.927	4104.392	4104.550	179	0	240
2026.07.27	02:16:00	4104.600	4105.149	4103.929	4104.250	121	0	240
2026.07.27	02:17:00	4104.158	4104.422	4103.414	4103.414	94	0	240
2026.07.27	02:18:00	4103.642	4105.438	4103.352	4104.030	166	0	240
2026.07.27	02:19:00	4104.114	4104.757	4103.822	4104.244	143	0	240
2026.07.27	02:20:00	4104.041	4104.533	4103.201	4104.117	124	0	240
2026.07.27	02:21:00	4104.233	4104.456	4103.727	4103.927	106	0	240
2026.07.27	02:22:00	4103.977	4104.516	4103.148	4104.215	141	0	240
2026.07.27	02:23:00	4104.467	4104.796	4102.136	4102.292	153	0	240
2026.07.27	02:24:00	4102.237	4104.150	4101.883	4103.864	144	0	240
2026.07.27	02:25:00	4104.000	4105.776	4103.738	4104.903	134	0	240
2026.07.27	02:26:00	4105.208	4105.673	4104.398	4104.398	140	0	240
2026.07.27	02:27:00	4104.388	4104.805	4102.803	4103.119	115	0	240
2026.07.27	02:28:00	4103.125	4103.814	4102.833	4103.120	155	0	240
2026.07.27	02:29:00	4103.423	4103.781	4102.724	4103.060	128	0	240
2026.07.27	02:30:00	4103.116	4103.291	4099.371	4101.551	458	0	240
2026.07.27	02:31:00	4101.241	4102.451	4100.767	4102.185	260	0	240
2026.07.27	02:32:00	4102.257	4102.316	4100.514	4100.979	197	0	240
2026.07.27	02:33:00	4100.915	4101.121	4099.528	4100.282	182	0	240
2026.07.27	02:34:00	4100.339	4100.793	4099.171	4100.183	159	0	240
2026.07.27	02:35:00	4100.062	4100.672	4099.317	4099.843	183	0	240
2026.07.27	02:36:00	4099.898	4101.181	4099.898	4100.947	185	0	240
2026.07.27	02:37:00	4100.956	4100.956	4098.528	4099.168	161	0	240
2026.07.27	02:38:00	4099.226	4099.241	4097.839	4098.015	171	0	240
2026.07.27	02:39:00	4098.214	4098.757	4097.592	4097.796	151	0	240
2026.07.27	02:40:00	4097.602	4098.691	4097.177	4097.762	192	0	240
2026.07.27	02:41:00	4097.879	4098.251	4097.127	4097.456	132	0	240
2026.07.27	02:42:00	4097.471	4098.172	4095.865	4096.290	126	0	240
2026.07.27	02:43:00	4096.181	4096.730	4095.676	4096.502	170	0	240
2026.07.27	02:44:00	4096.472	4097.217	4096.183	4096.604	153	0	240
2026.07.27	02:45:00	4096.548	4097.765	4096.257	4096.575	166	0	240
2026.07.27	02:46:00	4096.564	4096.598	4095.421	4095.512	114	0	240
2026.07.27	02:47:00	4095.771	4096.248	4095.115	4095.741	136	0	240
2026.07.27	02:48:00	4095.682	4095.846	4095.126	4095.546	128	0	240
2026.07.27	02:49:00	4095.684	4095.815	4095.333	4095.350	113	0	240
2026.07.27	02:50:00	4095.291	4095.811	4094.143	4094.463	154	0	240
2026.07.27	02:51:00	4094.502	4095.948	4094.090	4095.840	163	0	240
2026.07.27	02:52:00	4095.893	4096.809	4095.508	4096.127	173	0	240
2026.07.27	02:53:00	4096.373	4096.791	4095.064	4096.535	154	0	240
2026.07.27	02:54:00	4096.789	4096.857	4096.173	4096.563	117	0	240
2026.07.27	02:55:00	4096.553	4096.554	4095.341	4096.029	165	0	240
2026.07.27	02:56:00	4096.019	4096.145	4095.131	4095.214	131	0	240
2026.07.27	02:57:00	4095.263	4095.999	4095.006	4095.533	106	0	240
2026.07.27	02:58:00	4095.481	4096.166	4095.299	4095.628	101	0	240
2026.07.27	02:59:00	4095.599	4095.828	4093.673	4093.754	142	0	240
2026.07.27	03:00:00	4093.453	4095.736	4093.193	4095.680	238	0	240
2026.07.27	03:01:00	4095.661	4095.845	4093.911	4094.425	188	0	240
2026.07.27	03:02:00	4094.411	4095.261	4093.874	4093.995	144	0	240
2026.07.27	03:03:00	4094.006	4094.415	4090.839	4090.839	230	0	240
2026.07.27	03:04:00	4091.157	4092.600	4091.098	4092.354	190	0	240
2026.07.27	03:05:00	4092.515	4092.808	4091.318	4091.367	171	0	240
2026.07.27	03:06:00	4091.318	4093.147	4091.023	4093.147	188	0	240
2026.07.27	03:07:00	4093.025	4093.373	4092.135	4092.414	151	0	240
2026.07.27	03:08:00	4092.356	4093.208	4091.935	4092.858	138	0	240
2026.07.27	03:09:00	4093.124	4093.415	4091.024	4091.518	190	0	240
2026.07.27	03:10:00	4091.568	4091.942	4088.910	4091.066	385	0	240
2026.07.27	03:11:00	4091.044	4091.676	4090.806	4091.440	104	0	240
2026.07.27	03:12:00	4091.637	4091.952	4090.756	4091.877	131	0	240
2026.07.27	03:13:00	4092.187	4092.299	4091.160	4091.416	133	0	240
2026.07.27	03:14:00	4091.385	4092.232	4090.640	4092.036	137	0	240
2026.07.27	03:15:00	4092.155	4092.402	4091.080	4091.744	151	0	240
2026.07.27	03:16:00	4091.802	4093.136	4091.532	4092.727	152	0	240
2026.07.27	03:17:00	4092.710	4093.404	4092.663	4093.153	143	0	240
2026.07.27	03:18:00	4093.099	4093.633	4092.053	4093.206	158	0	240
2026.07.27	03:19:00	4093.107	4093.451	4091.691	4092.230	140	0	240
2026.07.27	03:20:00	4092.181	4092.371	4090.875	4091.669	143	0	240
2026.07.27	03:21:00	4091.659	4091.886	4089.594	4089.926	123	0	240
2026.07.27	03:22:00	4089.874	4090.130	4089.258	4090.117	144	0	240
2026.07.27	03:23:00	4090.103	4090.311	4089.717	4090.166	93	0	240
2026.07.27	03:24:00	4090.250	4090.523	4089.641	4089.763	152	0	240
2026.07.27	03:25:00	4089.888	4090.169	4088.971	4089.091	133	0	240
2026.07.27	03:26:00	4089.229	4089.753	4086.001	4087.796	198	0	240
2026.07.27	03:27:00	4087.846	4088.154	4087.088	4088.147	142	0	240
2026.07.27	03:28:00	4088.159	4088.159	4086.357	4086.376	142	0	240
2026.07.27	03:29:00	4086.312	4086.312	4085.203	4085.680	160	0	240
2026.07.27	03:30:00	4085.609	4086.508	4085.224	4086.306	170	0	240
2026.07.27	03:31:00	4086.257	4087.835	4085.481	4087.671	218	0	240
2026.07.27	03:32:00	4087.730	4088.071	4086.491	4087.840	181	0	240
2026.07.27	03:33:00	4087.811	4089.782	4087.755	4089.646	173	0	240
2026.07.27	03:34:00	4089.593	4090.328	4089.244	4090.307	139	0	240
2026.07.27	03:35:00	4090.069	4090.677	4088.608	4088.827	142	0	240
2026.07.27	03:36:00	4088.829	4088.948	4088.023	4088.910	136	0	240
2026.07.27	03:37:00	4088.923	4089.452	4087.931	4088.074	123	0	240
2026.07.27	03:38:00	4088.323	4089.364	4087.826	4089.198	124	0	240
2026.07.27	03:39:00	4089.195	4089.655	4088.803	4089.129	130	0	240
2026.07.27	03:40:00	4089.178	4089.903	4088.773	4089.903	95	0	240
2026.07.27	03:41:00	4089.662	4090.623	4089.599	4089.973	114	0	240
2026.07.27	03:42:00	4090.006	4090.496	4089.704	4090.212	116	0	240
2026.07.27	03:43:00	4090.262	4090.875	4089.881	4090.099	129	0	240
2026.07.27	03:44:00	4090.163	4090.709	4089.611	4089.778	103	0	240
2026.07.27	03:45:00	4089.750	4089.934	4089.209	4089.462	84	0	240
2026.07.27	03:46:00	4089.372	4089.906	4089.343	4089.468	75	0	240
2026.07.27	03:47:00	4089.415	4089.856	4088.330	4088.720	106	0	240
2026.07.27	03:48:00	4088.887	4089.570	4088.457	4089.329	114	0	240
2026.07.27	03:49:00	4089.082	4089.711	4089.008	4089.355	80	0	240
2026.07.27	03:50:00	4089.424	4089.953	4088.990	4089.646	77	0	240
2026.07.27	03:51:00	4089.843	4090.114	4089.183	4089.555	95	0	240
2026.07.27	03:52:00	4089.557	4090.520	4089.503	4090.097	75	0	240
2026.07.27	03:53:00	4089.831	4090.699	4089.766	4090.633	69	0	240
2026.07.27	03:54:00	4090.388	4090.412	4089.078	4089.278	89	0	240
2026.07.27	03:55:00	4089.303	4090.320	4089.239	4090.062	93	0	240
